"어업별","품종별","행정구역별","판매형태별","항목","단위","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월",
"계","계","계","계","생산량:계","","343795.73674","348988.36629","519766.94527","303756.14929","275030.1314","192958.262","190463.58607","170309.9731","196194.9592","186201.094","232465.56181","309501.50431","337437.70862","354819.18574","630496.2742","408940.82619","282980.78069","237121.2878","216853.50929","207944.7863","216616.39384","203185.19142","266844.62293","361470.71762","387204.65351","356499.83679","537768.86602","351774.69944","339334.68871","325271.96087","206164.61174","164762.2591","225374.14562","240870.65129","280020.49406","355009.97705","445768.02025","401544.27453","605115.13892","365695.17474","342307.8184","340935.58684","175188.70419","187685.24","172267.32746","198640.89294","249924.04394","375896.53845","365090.32911","377853.85947","526823.88784","402551.64282","308881.59844","281871.40069","244645.31325","188716.65701","176903.49463","206277.18874","269913.34342","363344.55898","388835.46203","408367.57247","611303.66957","417589.03107","332934.61252","288330.50997","216186.34438","191131.52246","172030.18171","200118.00551","248477.00736","344743.78082","409939.58768","381179.86414","601258.5172","363851.56811","310481.23704","260436.10203","190575.81109","175252.33446",
"계","계","계","계통","생산량:계","","187399.204","134075.654","172306.447","117223.75","53814.225","76864.665","61915.163","78419.341","86510.299","102852.524","158905.164","192968.741","178467.248","150938.181","180902.584","46241.432","58743.787","109689.517","76330.046","93576.265","113522.281","89552.928","157693.446","219713.875","211661.575","162448.197","197071.749","110431.838","58049.561","74137.551","83856.855","71528.35","121094.104","138040.681","184613.171","195480.408","240034.42","165569.983","185289.016","120026.99","51417.771","99186.279","69854.975","68560.345","66782.725","98082.023","134614.775","236139.593","183828.419","181344.042","184559.688","94917.627","51838.969","77454.498","78225.078","62944.044","84973.737","115933.924","159417.124","214060.436","189281.938","173790.136","217801.295","103982.894","52509.709","99134.682","68571.887","70063.328","89423.325","120075.848","143493.678","218533.694","224462.228","187813.653","197107.072","101757.88","59371.212","72209.534","52033.515","68629.908",
"계","계","계","비계통","생산량:계","","156396.53274","214912.71229","347460.49827","186532.39929","221215.9064","116093.597","128548.42307","91890.6321","109684.6602","83348.57","73560.39781","116532.76331","158970.46062","203881.00474","449593.6902","362699.39419","224236.99369","127431.7708","140523.46329","114368.5213","103094.11284","113632.26342","109151.17693","141756.84262","175543.07851","194051.63979","340697.11702","241342.86144","281285.12771","251134.40987","122307.75674","93233.9091","104280.04162","102829.97029","95407.32306","159529.56905","205733.60025","235974.29153","419826.12292","245668.18474","290890.0474","241749.30784","105333.72919","119124.895","105484.60246","100558.86994","115309.26894","139756.94545","181261.91011","196509.81747","342264.19984","307634.01582","257042.62944","204416.90269","166420.23525","125772.61301","91929.75763","90343.26474","110496.21942","149284.12298","199553.52403","234577.43647","393502.37457","313606.13707","280424.90352","189195.82797","147614.45738","121068.19446","82606.85671","80042.15751","104983.32936","126210.08682","185477.35968","193366.21114","404151.4452","262093.68811","251110.02504","188226.56803","138542.29609","106622.42646",
"계","계","국내계","계","생산량:계","","314163.73674","326342.36629","482659.94527","269184.14929","231223.1314","149533.262","140914.58607","130324.9731","149973.9592","144839.094","198749.56181","277470.50431","306410.05862","325997.11574","584865.5232","366382.45819","248878.42769","190889.2638","184461.79229","169005.1403","190348.44884","152270.15842","231932.34493","327544.98162","349331.84751","326268.10079","490711.96202","307210.28444","290828.32071","278443.20087","169154.31974","135472.3601","191497.90662","195091.84729","241909.87806","320547.34305","413612.43425","361349.15053","554642.73892","321402.12374","292794.0104","292703.89184","126774.76219","153349.629","132015.85746","152904.66094","211725.39394","343898.96945","336345.26811","346546.48847","480857.77984","366259.90082","260121.58644","241928.80869","207770.25825","152094.23801","151965.48863","170582.09374","232842.21342","328941.67398","352059.70003","369440.59847","553737.74557","365864.61007","290049.99952","250373.66897","183590.91738","155674.15146","149613.44771","171249.35651","222754.67636","316813.90882","376314.52268","352223.75314","554887.6642","322663.16111","266279.78104","222749.06303","161743.89209","151600.33746",
"계","계","국내계","계통","생산량:계","","187399.204","134075.654","172306.447","117223.75","53814.225","76864.665","61915.163","78419.341","86510.299","102852.524","158905.164","192968.741","178467.248","150938.181","180902.584","46241.432","58743.787","109689.517","76330.046","93576.265","113522.281","89552.928","157693.446","219713.875","211661.575","162448.197","197071.749","110431.838","58049.561","74137.551","83856.855","71528.35","121094.104","138040.681","184613.171","195480.408","240034.42","165569.983","185289.016","120026.99","51417.771","99186.279","69854.975","68560.345","66782.725","98082.023","134614.775","236139.593","183828.419","181344.042","184559.688","94917.627","51838.969","77454.498","78225.078","62944.044","84973.737","115933.924","159417.124","214060.436","189281.938","173790.136","217801.295","103982.894","52509.709","99134.682","68571.887","70063.328","89423.325","120075.848","143493.678","218533.694","224462.228","187813.653","197107.072","101757.88","59371.212","72209.534","52033.515","68629.908",
"계","계","국내계","비계통","생산량:계","","126764.53274","192266.71229","310353.49827","151960.39929","177408.9064","72668.597","78999.42307","51905.6321","63463.6602","41986.57","39844.39781","84501.76331","127942.81062","175058.93474","403962.9392","320141.02619","190134.64069","81199.7468","108131.74629","75428.8753","76826.16784","62717.23042","74238.89893","107831.10662","137670.27251","163819.90379","293640.21302","196778.44644","232778.75971","204305.64987","85297.46474","63944.0101","70403.80262","57051.16629","57296.70706","125066.93505","173578.01425","195779.16753","369353.72292","201375.13374","241376.2394","193517.61284","56919.78719","84789.284","65233.13246","54822.63794","77110.61894","107759.37645","152516.84911","165202.44647","296298.09184","271342.27382","208282.61744","164474.31069","129545.18025","89150.19401","66991.75163","54648.16974","73425.08942","114881.23798","162777.76203","195650.46247","335936.45057","261881.71607","237540.29052","151238.98697","115019.03038","85610.82346","60190.12271","51173.50851","79260.99836","98280.21482","151852.29468","164410.10014","357780.5922","220905.28111","206908.56904","150539.52903","109710.37709","82970.42946",
"계","계","부산광역시","계","생산량:계","","49788.26125","18374.36708","16591.48225","14137.21751","10928.90747","13132.49816","10707.52367","19241.43691","26531.16142","33808.74531","51311.2533","59498.80473","34780.04015","20004.07363","16631.0338","6993.3033","12243.18795","14790.80648","13064.52796","25014.22943","24747.9432","17487.83367","29068.76897","48802.03968","42583.17195","17814.44895","25304.9146","10233.7594","7080.8828","11607.2292","20663.2307","22294.9907","43287.3018","38390.016","50852.489","38020.9793","50844.1641","19961.39773","15461.00095","11042.246","11854.38844","9258.72512","10134.96702","16800.69932","13053.49842","17313.29443","23468.40477","57982.4451","30423.63696","23846.85554","17872.66026","9212.77728","8576.6933","8493.453","13939.2864","13189.6754","17268.0785","27527.7423","28160.678","36396.6526","26920.6331","22861.07871","20280.07487","10476.40649","7834.3416","7092.40285","14578.26477","18112.47595","29978.98073","37579.44832","34177.81074","48376.6012","35102.73021","16537.91642","22027.76187","8582.13509","9139.31398","8563.3916","7423.31635","17520.7451",
"계","계","부산광역시","계통","생산량:계","","46957.687","15888.365","14525.654","13145.969","5984.546","9383.427","10036.917","18754.441","26123.503","33459.716","50616.217","56363.108","30445.755","13287.876","12812.659","4651.9","6368.642","9986.262","12409.539","24514.664","24157.496","16970.394","28655.916","48530.808","39484.418","14815.827","22155.446","9159.254","2832.968","2912.388","19353.505","21123.923","42657.847","37506.011","50192.424","35909.872","48180.357","16001.461","12711.811","10353.081","3428.776","2557.963","9446.187","15854.913","12392.996","16810.186","22884.901","56306.061","27495.652","20102.516","16760.599","6714.309","3810.512","3764.209","13365.327","12703.4","16693.733","26754.148","27585.262","34679.799","24149.918","18422.344","17147.708","8863.609","3313.668","3772.998","13937.997","17302.894","29400.048","36892.118","33035.436","47268.371","32131.974","12010.259","17585.521","7013.418","3278.542","3638.799","6600.823","16867.749",
"계","계","부산광역시","비계통","생산량:계","","2830.57425","2486.00208","2065.82825","991.24851","4944.36147","3749.07116","670.60667","486.99591","407.65842","349.02931","695.0363","3135.69673","4334.28515","6716.19763","3818.3748","2341.4033","5874.54595","4804.54448","654.98896","499.56543","590.4472","517.43967","412.85297","271.23168","3098.75395","2998.62195","3149.4686","1074.5054","4247.9148","8694.8412","1309.7257","1171.0677","629.4548","884.005","660.065","2111.1073","2663.8071","3959.93673","2749.18995","689.165","8425.61244","6700.76212","688.78002","945.78632","660.50242","503.10843","583.50377","1676.3841","2927.98496","3744.33954","1112.06126","2498.46828","4766.1813","4729.244","573.9594","486.2754","574.3455","773.5943","575.416","1716.8536","2770.7151","4438.73471","3132.36687","1612.79749","4520.6736","3319.40485","640.26777","809.58195","578.93273","687.33032","1142.37474","1108.2302","2970.75621","4527.65742","4442.24087","1568.71709","5860.77198","4924.5926","822.49335","652.9961",
"계","계","대구광역시","계","생산량:계","",".824","16.27","7.273","1.971","11.202","11.038",".81","1.126",".991","1.156","11.759","1.182","10.83","41.249","16.022",".928","15.711",".242",".515","15.599","17.268","16.041","2.962","1.23","4.577","1.065","5.118","2.601",".43",".729",".611","1.252",".595",".8","1.24","1.335",".475","2.098","1.466",".618",".733","1.635",".663","1.33",".927",".871",".977","1.596","1.2852","1.4868","1.302","1.4616","1.4604","1.1448","1.5348","1.6392",".7668",".6432",".8796",".7452",".9696","1.6536","1.2648","1.476",".768",".7416",".624",".5904",".9216",".606",".5472",".4704",".5676",".7992","1.026",".8364",".966",".9024",".9048",".996",
