"MRN_NO","FSH_KIND","BUOY_KND_NM","SOF_NM","FW_YR","FW_MNTH","FSH_HL_MNTH"
"221","근해안강망어업                       ","근해안강망                         ","참조기","2021","12","서해21-52"
"222","근해안강망어업                       ","근해안강망                         ","참조기","2021","12","서해21-52"
"223","근해안강망어업                       ","근해안강망                         ","참조기","2021","12","서해21-52"
"222","근해자망어업                                          ","근해자망                                                ","병어                                                      ","2021    ","1       ","서해21-03         "
"222","근해자망어업                                          ","근해자망                                                ","병어                                                      ","2020    ","2       ","서해21-06         "
"213","연안통발어업                                          ","장어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"213","연안통발어업                                          ","장어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"5213","연안자망어업                                          ","자망                                                      ","전어                                                      ","2019    ","12      ","Y2020-229           "
"213","연안통발어업                                          ","장어통발                                                ","장어                                                      ","2019    ","12      ","Y2020-229           "
"213","연안통발어업                                          ","장어통발                                                ","장어                                                      ","2019    ","12      ","Y2020-229           "
"214","연안통발어업                                          ","장어통발                                                ","장어                                                      ","2019    ","12      ","Y2020-229           "
"213","연안통발어업                                          ","장어통발                                                ","장어                                                      ","2019    ","12      ","Y2020-229           "
"214","연안통발어업                                          ","장어통발                                                ","장어                                                      ","2019    ","12      ","Y2020-229           "
"214","연안통발어업                                          ","장어통발                                                ","장어                                                      ","2019    ","12      ","Y2020-229           "
"213","연안통발어업                                          ","장어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"213","연안통발어업                                          ","문어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"214","연안통발어업                                          ","장어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"214","연안통발어업                                          ","장어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"213","연안통발어업                                          ","장어통발                                                ","꽃게                                                      ","2019    ","12      ","Y2020-232           "
"214","연안통발어업                                          ","장어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"213","연안통발어업                                          ","장어통발                                                ","꽃게                                                      ","2019    ","12      ","Y2020-232           "
"214","연안통발어업                                          ","장어통발                                                ","꽃게                                                      ","2019    ","12      ","Y2020-232           "
"213","연안통발어업                                          ","장어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"213","연안통발어업                                          ","장어통발                                                ","장어                                                      ","2019    ","12      ","Y2020-229           "
"213","연안통발어업                                          ","장어통발                                                ","장어                                                      ","2019    ","12      ","Y2020-229           "
"213","연안통발어업                                          ","문어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"213","연안통발어업                                          ","문어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"213","연안통발어업                                          ","문어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"213","연안통발어업                                          ","문어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"213","연안통발어업                                          ","문어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"213","연안통발어업                                          ","문어통발                                                ","꽃게                                                      ","2019    ","12      ","Y2020-232           "
"213","연안통발어업                                          ","문어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"213","연안통발어업                                          ","장어통발                                                ","장어                                                      ","2019    ","12      ","Y2020-229           "
"213","연안통발어업                                          ","문어통발                                                ","꽃게                                                      ","2019    ","12      ","Y2020-232           "
"213","연안통발어업                                          ","문어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"213","연안통발어업                                          ","문어통발                                                ","꽃게                                                      ","2019    ","12      ","Y2020-232           "
"213","연안통발어업                                          ","문어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"213","연안통발어업                                          ","장어통발                                                ","장어                                                      ","2019    ","12      ","Y2020-229           "
"213","연안통발어업                                          ","문어통발                                                ","꽃게                                                      ","2019    ","12      ","Y2020-232           "
"213","연안통발어업                                          ","문어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"97","연안통발어업                                          ","문어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
